Gesture,Point1,Point2,Point3,Point4,Point5,Point6,Point7,Point8,Point9,Point10,Point11,Point12,Point13,Point14,Point15,Point16,Point17,Point18,Point19,Point20,Point21,Point22,Point23,Point24,Point25,Point26,Point27,Point28,Point29,Point30,Point31,Point32,Point33,Point34,Point35,Point36,Point37,Point38,Point39,Point40,Point41,Point42,Point43,Point44,Point45,Point46,Point47,Point48,Point49,Point50,Point51,Point52,Point53,Point54,Point55,Point56,Point57,Point58,Point59,Point60,Point61,Point62,Point63,Point64
arrow,30.6020613607377,28.9771485213437,27.3921333307475,25.9539516193027,24.4547315409615,23.012939438805,21.6331205750274,20.397235282869,19.3247061918821,18.3067852013233,17.4897147450708,16.8802802433943,16.7931061571021,16.6406606462123,16.7259500109226,16.8501933364824,17.2935794021853,17.2483175931596,17.3427183913652,17.5304401898475,17.7040453343571,18.0638865253487,18.2560096814376,17.5821010511688,16.8113134219358,16.1411357017996,16.1043611682409,17.2800084910561,20.1849726105901,23.6065027698197,25.324669252877,26.5656921168606,27.3070038637281,27.7509369953348,27.5498377845892,27.1769245473252,25.2179410261842,23.2525459954581,21.4142530990803,19.9237739980039,16.7567905682764,16.2482656665745,16.9999192514943,18.0767886899958,18.6121912249284,19.0676363537102,19.6932933571322,20.2985312359679,20.5918290597113,20.7693836531579,20.6120088667908,18.6724635233305,17.3671398219208,17.4336379480295,18.3267704355976,18.9093395626834,19.3016141183727,19.8419971814732,20.4828090550148,21.2382167738871,22.1741148871195,23.2852498531192,24.3208253985645,25.5959901829693
caret,12.7135378082305,12.1327654645865,11.6683644677903,10.9881932880021,10.7504279586583,10.2101729607225,10.0547738900654,9.6437287495302,9.1932074774549,8.79693712391477,8.20466868775865,7.93519492628055,7.79362851721671,7.63651704391604,7.4326079897664,7.36312649149161,7.41927702386183,7.40717182138042,7.64817472771381,7.75582261395464,7.94173747532425,8.17572196423575,8.50029094693592,8.85313260449398,9.19208369196303,9.60415253613723,10.0276785476834,10.5610703634707,10.9435239284202,11.1097661635522,10.933141335585,10.87901713851,10.0653409337999,9.44325938563975,8.84547849209057,8.49953526359976,8.06322597433298,7.7677985250448,7.15961717015658,6.74027383208333,6.46306242946684,6.27280439614077,6.15568295692739,6.22709014016609,6.19338982097643,6.39232107464279,6.66519648507117,6.98811902917916,7.37391443929483,7.72675583580803,8.16292345988253,8.61698245289717,9.16687510705081,9.6893318258608,10.2692442062034,10.8044071448088,11.375736758944,11.889889618093,12.4491522193262,13.1386392296197,13.9587109533664,14.6450797234392,15.1666639894321,15.8558618609189
check,22.950833562449,22.4472782548549,22.0018290765762,21.539219361955,21.0916895532304,20.7056316409889,20.2962785212933,19.9837975288188,19.6800221541207,19.4077225977959,18.9799207428088,18.5202419201495,18.1669255612034,17.7777026471423,17.5162534427672,17.5452170369218,16.5656537595036,14.8339499387821,13.5181392733949,12.7973266020784,12.4249624294311,12.1433746360479,11.6389849419138,10.8881003974817,10.0817207442379,9.25364009778082,8.48673548376564,7.78231288146024,7.10107392899312,6.48447214671177,5.91825339929336,5.43747450320257,5.05860362060463,4.87272352226083,4.91830532039854,5.15451733435175,5.46598335506237,5.88023690106527,6.29558322270313,6.78113252238002,7.31558304357747,7.90257715631394,8.53349799060531,9.18402473432423,9.83963135885044,10.4824486418531,11.170804510708,11.8888183113077,12.5947565511461,13.3432844757148,14.1052209731715,14.9080615995319,15.7461145529517,16.5555855729671,17.3682523433092,18.1819279091296,18.9803515487435,19.7193180289862,20.5210411744633,21.3928587591335,22.2204151618084,23.079863979863,23.9286072023623,24.7340161407547
circle,28.0626508860036,27.9760030954489,28.0029720700941,28.3496049025561,28.6727297505886,28.9083323089206,29.0681065196199,28.9331634291598,28.826178023712,28.795931225349,28.7738505695568,28.9313330477978,29.2087372937376,29.4727885655304,29.7254991904658,29.7467690868941,29.8318590347617,29.8397371056982,29.9317162707292,30.1385733834929,30.364629856862,30.336248006237,30.3398937302535,30.2976460838269,30.1529113681702,29.9451887479475,29.6390796482386,29.3205346136428,28.9233247278251,28.5511974048417,28.2303088531482,28.0184790041651,27.8075864408418,27.6948724100492,27.795984435019,27.819984532676,27.952707969231,28.1217637023268,28.4720855745169,28.820517959082,29.4670842848755,29.9250316317777,30.4478549257414,30.9321345646221,31.3226885340428,31.5604822230206,31.5657084789611,31.4473782136927,31.2227457701158,30.8917121356378,30.5030744678873,30.0421001790197,29.7273107464334,29.3976730320464,29.1908611805808,29.0745447600122,29.0107432410103,28.8495511360889,28.6696282027297,28.5856173741295,28.5711774581819,28.6543709884167,28.712835620921,28.5755920745117
delete,21.2581482745701,20.0934301117197,18.7185530105807,17.5575786896113,17.0066170427458,15.726936526084,14.8290400109305,14.0830941643997,13.4684604903174,13.192410137633,13.0249832126513,12.9252053519587,13.0068498568704,13.3726008316112,13.6527652831233,14.2370842662971,15.1757105958,16.2340894129108,17.4212854374743,18.7575234920121,19.5634086743053,19.990082445611,18.1022128374184,16.1689297519749,14.6249116344786,15.9588286660675,17.9857028889695,18.8741388764261,19.1554707614651,19.3352978816971,19.5635239315423,19.8043251617383,20.0272039444225,20.4057972268801,20.8860266033261,21.3284558326326,21.4299179073465,20.7554679816916,19.5890980934779,17.641670556399,15.6988365311361,15.2795209825973,15.3169970937363,14.7323869057612,14.0600167379634,13.5982774258039,12.35885999365,11.9331807277238,11.512113855399,11.3562999313727,11.1828093601955,10.9684272934137,11.1514286275099,11.4589925917897,11.903750685633,12.3727534404854,13.0920933500606,13.8825782411489,14.7193118981485,15.6967276277043,16.760675637366,17.8374622416895,19.0248486932397,20.0249751416739
left curly brace,22.547217488474,21.7125845451555,20.6233596194873,19.789181174553,18.4775295745702,17.3066107419459,16.3093361416551,15.423643810196,14.5956943470202,13.9920944931678,13.5503626194748,13.1290331664922,12.8672057355292,12.7389605459271,12.7883380869475,12.8911154314663,12.9349438050204,12.9380973548587,12.9003948098203,12.8159284591631,12.5899684587149,12.2489295282387,11.9962800398823,11.6375977586418,11.4864559469055,11.3580057906443,11.4426089280606,11.900281129696,12.5092208003282,13.1133121994396,13.6436782444909,13.7959547108816,13.3960104575627,13.2119901885424,12.6987830226679,11.7395507147761,11.8785924952564,12.2035804913438,12.725174835946,13.3813011114713,13.5203537908966,13.7657413014335,14.0310915917552,14.4377065463046,14.502619593847,14.5882259837432,14.230237168341,13.7430663254399,13.5060833080295,13.3005852069057,13.3090302801017,13.3755374990508,13.5205996358086,13.7657015565572,14.2165915883276,15.2715664114677,16.6062756557662,18.4209889277251,20.7453547050244,22.2657450360975,22.9207577963558,23.4088789637075,24.410068884893,25.1221932435337
left sq bracket,18.6611774649104,18.30325981217,17.952018944622,17.6774196028075,17.4187654106442,17.0625708369531,16.7125386502734,16.3123623857276,15.995207643308,15.7363653782291,15.3679775355284,14.7238127470419,13.8269046874245,12.9675003851658,12.4559488350941,12.7835490523721,12.3994862016685,11.9218035668638,11.6114309740808,11.47200777459,11.2099489829621,10.8140636368606,10.4697201090059,10.2297121108371,9.96546409747694,9.62176701484424,9.42147292808962,9.27074777538445,9.10120944279205,9.09667604307834,9.11815312091647,9.16158128551198,9.40263731711424,9.52220906732409,9.68584378071687,10.0888358047811,10.4080602931721,10.843132502237,11.1187945858442,11.3843913906784,11.7406841164239,11.9561419160356,12.1667463368672,11.9287535679917,11.7300982536423,10.7952758792544,10.5680141856858,11.6174955330257,12.6751471859068,13.5657412459291,14.9144559935676,16.2146893683546,17.2441328412726,18.0054832363663,18.5316007608585,19.0428484347625,19.4956236679107,20.0231942011393,20.5315859047478,21.1072260992212,21.6241937368814,22.2815191467493,22.956990233456,23.7857249008652
pigtail,30.5956525264611,28.427030490982,26.3760613633732,24.5074395204257,22.7981748028091,21.2092063247435,19.6713796416979,18.17254308219,16.782438993978,15.5465803271654,14.3814833625358,13.4003800486501,12.6105757342165,11.9561405116374,11.3876290306614,10.9410893451797,10.8625017512305,10.8928991258631,11.1458690113585,11.4128558456117,11.8958172572738,12.3913927479497,12.9852821817396,13.7048077019749,14.5762594737318,15.71379496247,17.1790753257347,19.2351681316223,21.6429167500355,23.8379597047619,26.5637960194088,28.4876394375341,28.7347693843123,27.9818402222727,26.7428303965691,25.6202073293474,24.4706985484326,23.2877128995412,22.1137022197477,20.9748864962254,19.8607415353984,18.7879336336351,17.7602757699924,16.8376629588166,16.0466641150933,15.2999284106964,14.8179353968473,14.4473658810192,14.2850017853563,14.2007025626368,14.2789028459744,14.6974612242219,15.1791426471812,15.7734600187943,16.4807206649715,17.4887590755276,18.8395457284166,20.6404379026772,22.6647242242868,25.2273674141621,28.3151557325423,31.0846019792787,34.359185339011,37.0683295599411
rectangle,21.0855069810422,21.2243699481458,21.3043673641767,21.5710786531866,21.6121720600611,21.7314865409311,21.7628204751575,22.1700717294175,22.289767899243,22.5094535995774,22.2829412030924,20.6151790786839,19.312133258435,18.3944127488901,16.6034708327879,14.8856226420535,13.7692014145098,13.166161169768,12.8388698256192,12.6869752641259,12.7612712350074,12.9064069505349,13.2048640362339,13.6526880004194,14.2173888795595,14.7622513000949,15.6495856542047,16.491054011398,17.4258530074217,18.5636738811093,19.9614472556524,21.7249790108483,21.0216756137575,21.4598436212855,22.0392785463004,21.9450500900829,21.657578082493,21.2285475538255,21.0273614029483,21.0883290567221,21.2300378493898,21.4902017241653,21.3753647778458,20.1820777096931,18.4936757088524,16.5963144197289,15.359677496854,14.3736128755728,13.7290782159165,13.598508140927,13.6975299650102,14.14123786982,14.5815308176569,14.8839588876845,15.1478978451131,15.5100080128104,16.1832303335429,16.9617280566285,17.711811802443,18.5190271659265,19.429402813731,20.3415110642721,20.5210066827691,20.7344489643683
right curly brace,28.2376052846726,25.9571521328567,24.2511272541439,23.2367683531051,22.0609996028744,21.3910274227579,21.0945556767627,20.8562821058572,20.6500574460761,20.351089409186,20.0293849214434,19.577214950037,18.8717759330108,17.9623320294579,16.7759884307701,15.6551318141174,14.484371811675,13.434166501354,12.6153761182338,12.2638294691649,12.3589767253059,12.8358580890467,13.3543442150889,13.9577771197003,14.8894897843573,16.2326897363385,16.9951296578092,17.5578252725565,17.6289592581157,18.1384355933981,18.5112231525263,18.8085756034876,16.5429586930723,15.1469927764369,15.4349340240361,15.5319998521593,15.6678614743787,15.8481150984102,15.8226603147026,15.610983509796,15.4733175529417,15.1275369276978,14.8677921614367,14.5196155433286,14.1125999885007,13.7468201547815,13.4118618870576,13.1790252773374,13.1005684270161,13.162186235825,13.4731457749436,13.8796266120304,14.4426758866481,15.2857076561362,16.2876969163222,17.3158682549407,18.1108233859664,18.8917402539394,19.7104390756892,20.8138855900636,22.0309059245697,23.3431685903672,24.6569817950097,25.9060724751974
right sq bracket,22.0846221813569,21.0919820214715,20.2609973491165,19.4867139992745,18.7849463194029,18.135966696023,17.528215751525,16.9864967127213,16.5163237945655,16.2246622928234,15.8747209717832,15.7122060950764,15.4567651180936,15.1341492490525,15.1362745652954,15.8365117485652,15.970753595623,15.4528027903645,14.8441683916293,14.0110993440259,13.1712587508411,12.3113883753582,11.4270062853789,10.6677672834501,9.96689657767729,9.23414114753712,8.65875151604027,8.16175847581973,7.61196273361119,7.16086045091274,6.83389024832702,6.62221824220927,6.48703524926153,6.49135462407927,6.6221932355705,6.80227484032281,7.08322840726936,7.55300951800275,8.06599241280915,8.69431817996364,9.40161498930661,10.1226875022787,10.901323816146,11.6202278536939,12.4389716882329,13.1483171725807,13.7118320680836,14.16152926533,14.5675959903113,15.0709708458773,16.2689366046257,17.9033959183165,18.4323091625701,18.6007137782937,18.7570953812791,18.8637188476107,19.0723417795455,19.2455775117774,19.4689295099407,19.6680799147122,19.9283487526167,20.2143031205794,20.4723139949941,20.931613409116
star,26.9148450120727,23.4224423240179,20.2942605274642,17.4431928909256,15.1958088676178,13.6275868650094,12.7632517044118,12.882761386117,14.164689252356,16.0783875903072,18.7069644490832,20.9757073766251,23.149989282311,22.6131067399939,20.8014820192118,18.4974743406159,16.5253890932683,15.377442037218,14.8060766263238,15.2759462287591,16.7299462495764,19.282784302072,22.2391350416046,24.6624257201391,25.073217205238,28.5176694280687,32.5295057617875,32.0198195535153,29.933783934974,27.6471587289238,25.6763671133159,24.1926404230537,23.3911689345289,23.1121724847141,23.7945635521785,24.3468707494743,24.614619740839,24.685814521047,27.6904796248969,31.0065799206315,31.0938000424819,29.0494624102315,27.1975807932408,25.4157552864153,24.0953773720639,23.2977143055639,23.2048210528414,24.0229163501273,25.2816231899946,26.6809792940565,28.5408042164154,28.5016185141349,25.7957904132561,22.7280560684789,19.6673045572711,17.3902549380006,15.8199000760931,15.3528831289663,15.8716325107096,16.9219369607906,19.0502040512521,21.7677811164462,24.7726971033208,27.9437174494509
triangle,24.316170318947,22.6562369992507,21.0039134792954,19.7007240861528,17.9896405379641,16.4920598086975,15.3155224695519,14.48375657323,13.9975615223795,13.8150689654006,13.824980481202,13.9874879813568,14.4504415495575,15.0917268726981,15.8406872043029,16.7050980870765,17.6063502909938,18.5728030326955,19.4760658240537,20.433334925458,21.193679410748,22.1792948772423,22.5464899330559,22.2462492362691,21.8151887005596,21.3564232275545,20.9180148813992,20.5351065110144,20.1772554746079,19.7577676379825,19.4639410588449,19.2089773440641,19.0075401008527,18.853590102173,18.8345219582159,18.8546580684041,19.1460650334757,19.4604741573862,19.9432837334453,20.6805973552821,21.3898280667933,21.5701032120418,20.2779003486374,19.1250217541845,20.7598583935554,23.3796535271686,23.6671363312356,22.7973453721194,22.143906945813,21.6374686213901,21.1452240591777,20.6905887225412,20.0715350155683,19.5285091108591,19.2729763802137,19.0478367308893,18.7117627460176,18.6758164853109,18.8640132502606,19.1483977639906,19.4900602746653,19.9483089048864,20.5171009995935,21.4156410896283
v,18.7084759614604,18.0735539817556,17.4011166808242,16.6968850035854,15.9476120371365,15.1973058233902,14.5698646704339,14.003127076093,13.2884099039168,12.5717394661135,11.8556997910354,11.2324685093205,10.7419106167986,10.2624144822937,9.81765700081735,9.37081725674461,8.92448009142051,8.69275793401187,8.49067254630259,8.37285072098025,8.31975677643662,8.38317274661385,8.39603746291997,8.48221757412462,8.60495148255015,8.81919719331571,9.1770193863892,9.59247908298432,10.1499470537219,10.445499391591,11.1723230155202,12.3934958249814,12.731169993123,12.7666543909641,12.4519607023614,11.9676909727492,11.5368406818537,11.084059578565,10.6429351847591,10.1298364937362,9.68181008861061,9.33178297213445,9.12026337499373,8.91618255097065,8.78609302221349,8.70596024477253,8.7408714014107,8.81544993474775,8.99861187829578,9.22833127703372,9.5486334354213,9.95203977060253,10.3614162979096,10.7679613117645,11.265726012351,11.941643605273,12.5755731857405,13.1440237583676,13.7352957632002,14.332864443123,14.9381317871249,15.4684674231759,15.9865239209251,16.5678700030064
x,21.8454317525108,20.1863999569045,18.7727637552854,17.2487152597041,15.7467761977766,14.6254588598955,13.4206482892911,12.5077662021275,11.5495283129857,10.8630346429574,10.5368674107404,10.5127643242714,10.8287525087831,11.1402971142999,11.6106886377858,12.1594993613272,12.6196419287068,13.1558425784011,13.8315134131929,14.9079687990865,15.7288752956757,16.8488641751896,17.6754449038213,18.2428176831407,19.398967370972,19.3230370616177,18.772708776496,18.1731158043362,17.6219244408115,17.1816102156964,16.8399699448708,16.7457382922349,16.6982200734183,17.1354089238649,17.503689690784,17.8319375404656,18.1435676809496,17.7418385263053,17.5816961529606,16.455667565448,16.608081354327,16.4161251037807,16.2579690574025,15.5638353098776,14.815425593033,13.9242315416069,13.0955713747563,12.3108542242041,11.7097389243112,11.1582493858806,10.8377163509797,10.6448930686701,10.7067771459597,11.0934882440803,11.64509179409,12.4106571434705,13.4824168550247,14.724879261775,15.8652153319617,17.2573829125694,18.7646528300539,20.2414107545139,21.9467957606757,23.9588690226093
zig-zag,25.7063276897794,24.6089767539324,23.430101934805,22.2827121464694,21.2438761921831,20.3130908141666,19.401023681545,18.6779181821722,18.1741428280791,17.7028113273164,17.3042033136957,16.662190584163,15.8207546311975,15.0793712474935,14.9536149387335,14.7183575159576,14.5066559331025,14.6110046687146,14.8383163392742,15.3608989442135,15.9416924357869,16.7733961774499,17.1551403877609,17.9143951831898,15.6545210815954,12.8132461733711,12.2416061704079,11.6727653248737,11.3679674723098,10.7152232942069,10.6178402305728,10.9629259349388,11.9411108523906,13.0903428224076,14.847940918563,16.5105155518301,16.5359402738101,16.6662519939794,14.1938892715858,14.0140786126304,13.9786603863007,13.9610102411744,14.0901067556962,14.5255705431416,15.0631521922177,15.5535370948432,16.1171402656107,16.7613716352656,17.2180557436093,17.256543320041,16.5588808093939,17.5933639611589,18.7022490192678,19.697910074355,19.9749916738375,20.2291319806364,20.6548137853895,21.2332031126606,21.9654401384049,22.9415178225311,23.973425728552,25.2427898452089,26.8489741735406,28.5083219570922
